Manhattan,Misplaced,Steps
7,7,7
12,7,16
7,6,7
3,3,3
8,6,8
2,2,2
12,7,16
4,4,4
9,7,13
4,4,4
8,5,12
12,7,12
7,7,7
6,6,6
8,6,10
12,6,14
5,3,5
6,5,12
7,7,7
8,7,8
9,7,11
4,4,4
8,5,8
3,3,3
6,5,16
10,7,16
3,3,3
10,8,10
6,5,8
4,3,6
12,6,12
7,7,7
10,7,10
4,4,4
11,8,11
4,3,4
8,5,8
7,5,7
2,2,2
7,7,7
8,7,8
6,4,6
5,4,7
6,6,6
7,6,7
3,3,3
4,3,10
2,2,2
10,7,12
8,7,8
6,6,6
8,5,8
5,4,7
9,7,11
6,5,6
4,3,6
7,7,7
8,5,8
8,8,8
8,7,10
6,4,10
9,6,9
0,0,0
7,5,7
1,1,1
6,6,6
7,5,7
4,4,4
7,6,9
8,6,10
4,4,4
5,5,5
4,3,8
9,6,9
12,8,16
5,4,7
3,3,3
13,7,17
5,4,7
4,4,4
2,2,2
3,3,3
10,7,10
3,3,3
9,6,9
6,5,8
4,4,4
8,4,14
4,3,8
13,7,15
9,6,9
9,6,9
5,5,5
6,6,6
10,6,10
4,4,4
5,5,5
5,5,5
10,7,12
5,5,5
